Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-09-19,1505793600000,156.07,9.78,1.23722,18.905055328980065,3.4523735177045585,7.3676264822954325,213.40757147257003,3.2937476701153368,-3.2937476701153368,-100.0,6.2846602408943255,9.217439759105659,146.66568129057666,1.4486931687327882,-1.4486931687327882,-100.0,1.6274836042018634,4.5104163957981385,277.1405121472851,6.146198981184952,-6.146198981184952,-100.0,3.0761767729346516,3.0617232270653503,99.5301457966763
2017-09-20,1505880000000,153.39,9.67,1.23833,19.37014654552832,3.4746675540306877,11.245332445969341,323.63765082862426,3.3186257950868594,-3.3186257950868594,-100.0,6.244942741040944,13.076757258959072,209.3975525671412,1.4918822348654288,-1.4918822348654288,-100.0,1.6718430056903058,8.446456994309727,505.21831090367095,6.112819993978121,-6.112819993978121,-100.0,3.163725240555735,6.954574759444299,219.8223369809026
2017-09-21,1505966400000,151.89,9.59,1.2366700000000002,16.571354049614115,2.9548794683880573,17.655120531611953,597.4903788966783,2.800570666522475,-2.800570666522475,-100.0,5.787121280134032,19.37957871986596,334.87424544552016,1.0807417423244274,-1.0807417423244274,-100.0,1.2328921083262117,14.820407891673794,1202.084739742081,5.630654042404686,-5.630654042404686,-100.0,2.313633850650639,13.739666149349368,593.8565493189644
2017-09-22,1506052800000,150.55,10.21,1.23444,16.138040268001713,2.854137427613197,20.8458625723868,730.3734701317229,2.701465624346227,-2.701465624346227,-100.0,5.677255830161528,22.539244169838447,397.0094856408322,1.0126641809925945,-1.0126641809925945,-100.0,1.1590765976228994,18.024423402377078,1555.0674941882705,5.518324640257917,-5.518324640257917,-100.0,2.1717407786154936,17.011759221384487,783.3236539505259
2017-09-25,1506312000000,153.14,10.17,1.235,16.336147683009273,2.9379374953449258,18.73206250465509,637.5922746598757,2.7825687745909846,-2.7825687745909846,-100.0,5.80214571921347,20.462054280786518,352.66357087564364,1.0572380600821916,-1.0572380600821916,-100.0,1.20819303831054,15.867606961689475,1313.3337520201014,5.642363255933972,-5.642363255933972,-100.0,2.2654310983927317,14.810368901607283,653.7549922447379
2017-09-26,1506398400000,154.23,9.87,1.235,16.12309480308638,2.9213048787331104,19.088695121266912,653.430433099648,2.764830294680081,-2.764830294680081,-100.0,5.814022118446642,20.82287788155336,358.1492718351867,1.0353417719152205,-1.0353417719152205,-100.0,1.1852179715737492,16.197882028426267,1366.6584895703606,5.65094914999915,-5.65094914999915,-100.0,2.2205597434889697,15.162540256511043,682.8251435688679
2017-09-27,1506484800000,153.28,9.55,1.23222,16.163715648021974,2.9102500173085843,19.68974998269141,676.5655825302804,2.755089138436375,-2.755089138436375,-100.0,5.783518718032056,21.414881281967933,370.2742625384763,1.0346126655260264,-1.0346126655260264,-100.0,1.1837942470564045,16.817805752943592,1420.6696640706234,5.622378541818024,-5.622378541818024,-100.0,2.218406912582431,15.783193087417565,711.4651959429963
2017-09-28,1506571200000,154.12,9.51,1.23333,15.37683933606178,2.787705158639625,17.762294841360358,637.1654759224323,2.6315535065250093,-2.6315535065250093,-100.0,5.708196354162737,19.465403645837227,341.00795484447485,0.9331292516115824,-0.9331292516115824,-100.0,1.0750877937155463,14.851312206284426,1381.404597196448,5.537851592037512,-5.537851592037512,-100.0,2.008217045327129,13.918182954672844,693.0616880809135
2017-09-29,1506657600000,153.81,9.45,1.2377799999999999,15.374776561171446,2.7820166248458804,17.377983375154116,624.6541886181874,2.6256170649028547,-2.6256170649028547,-100.0,5.6968498716076965,19.07745012839229,334.87717876280414,0.93084229846297,-0.93084229846297,-100.0,1.0727725568775668,14.472927443122444,1349.1142507641728,5.525981010136235,-5.525981010136235,-100.0,2.003614855340537,13.542085144659445,675.8826482327022
2017-10-02,1506916800000,154.48,9.51,1.2377799999999999,15.442454764873785,2.806080627259874,14.05391937274014,500.8380456431764,2.648999787132425,-2.648999787132425,-100.0,5.730795158660798,15.763604841339188,275.0683701809874,0.9440267437372256,-0.9440267437372256,-100.0,1.0872877367043046,11.13831226329571,1024.412571510944,5.5598944713730285,-5.5598944713730285,-100.0,2.03131448044153,10.194285519558484,501.85658684137553
