Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-05-30,1401422400000,616.47,11.4,0.121,82.36516730649045,28.043909461417734,1.0507905385822482,3.7469474076997193,28.02960414548141,-28.02960414548141,-100.0,45.471422535693314,14.446777464306647,31.771113940775628,14.634332485553813,-14.634332485553813,-100.0,13.395271659927598,-13.395271659927598,-100.0
2014-05-31,1401508800000,623.2567,11.58,0.119,82.5217946084137,28.406373569734683,1.045226430265302,3.679548984664939,28.392149818861128,-28.392149818861128,-100.0,46.01930608032289,14.595128919677052,31.71523033007594,14.842958516993008,-14.842958516993008,-100.0,13.54919130186812,-13.54919130186812,-100.0
2014-06-01,1401595200000,629.0242,11.58,0.119,67.31764651002862,23.392682298282754,1.2233177017173489,5.229488803886128,23.3783269235002,-23.3783269235002,-100.0,41.89963416697907,14.167575833020976,33.81312537613129,10.43478656093572,-10.43478656093572,-100.0,12.94354036256448,-12.94354036256448,-100.00000000000001
2014-06-02,1401681600000,658.7860000000003,11.87,0.1209,71.26783039288664,25.935653779057077,-25.935653779057077,-100.0,25.920379145404574,-12.475379145404418,-48.12961675993144,45.09531152661617,-25.60101152661645,-56.770894046282855,12.141500624646367,-12.141500624646367,-100.0,13.778878520758207,-13.778878520758207,-100.0
2014-06-03,1401768000000,665.73,12.08,0.119,64.04876109398754,23.55669191453592,-23.55669191453592,-100.0,23.54149885256146,-7.618298852561394,-32.361146162672966,43.34630959053175,-25.98300959053188,-59.942841353690284,10.045376181656167,-10.045376181656167,-100.0,13.496122670905294,-13.496122670905294,-99.99999999999999
2014-06-04,1401854400000,636.7837,11.68,0.122,80.3183797185664,28.249136006380297,-28.249136006380297,-100.0,28.234237186709557,-19.360337186709614,-68.57042766440644,46.338210667812575,-23.372925667812577,-50.43985369950392,14.484871789125519,-14.484871789125519,-100.0,13.749365397584038,-13.749365397584038,-100.0
2014-06-05,1401940800000,656.0598,11.68,0.122,76.4655079503231,27.709840043331155,-27.709840043331155,-100.0,27.694490221007925,46.56200977899204,168.1273401583394,46.52554217253169,-46.52554217253169,-100.0,13.707969841324685,27.74554015867537,202.40444412878975,13.98652037968324,-13.98652037968324,-100.0
2014-06-06,1402027200000,645.5647,10.73,0.12,56.63994772562808,20.20313117766716,-20.20313117766716,-100.0,20.188274517169077,27.949725482830964,138.44534092827578,39.90367472727326,-39.90367472727326,-100.0,7.611325899800079,8.24843910019996,108.37059414860443,12.576948617368998,-12.576948617368998,-100.0
2014-06-07,1402113600000,652.7083,11.15,0.122,56.64258835873692,20.427764944491912,-20.427764944491912,-100.0,20.412493537169095,60.6056064628309,296.9044734905816,40.34615777224815,-40.34615777224815,-100.0,7.696234935291527,40.68645006470851,528.6539510136113,12.716258601877566,-12.716258601877566,-100.0
2014-06-08,1402200000000,653.6402,11.15,0.122,56.702831117088735,20.478668411271546,-20.478668411271546,-100.0,20.463375200296927,41.205024799703104,201.3598655959024,40.420871424285615,-40.420871424285615,-100.0,7.724332873859823,21.262057126140206,275.26075679744275,12.739042326437104,-12.739042326437104,-100.0
