DATE,USD1WKD156N
2016-09-07,0.44383
2016-09-08,0.44522
2016-09-09,0.44506
2016-09-12,0.44533
2016-09-13,0.44589
2016-09-14,0.44922
2016-09-15,0.45367
2016-09-16,0.45228
2016-09-19,0.45478
2016-09-20,0.45756
2016-09-21,0.45783
2016-09-22,0.45589
2016-09-23,0.45339
2016-09-26,0.45228
2016-09-27,0.45256
2016-09-28,0.44788
2016-09-29,0.44867
2016-09-30,0.45672
2016-10-03,0.46256
2016-10-04,0.45756
2016-10-05,0.45589
2016-10-06,0.45644
2016-10-07,0.45533
2016-10-10,0.45533
2016-10-11,0.45644
2016-10-12,0.45867
2016-10-13,0.45867
2016-10-14,0.45922
2016-10-17,0.46033
2016-10-18,0.45811
2016-10-19,0.45756
2016-10-20,0.45756
2016-10-21,0.45644
2016-10-24,0.45589
2016-10-25,0.45478
2016-10-26,0.45589
2016-10-27,0.457
2016-10-28,0.45978
2016-10-31,0.45978
2016-11-01,0.45867
2016-11-02,0.46033
2016-11-03,0.4595
2016-11-04,0.45839
2016-11-07,0.45894
2016-11-08,0.45978
2016-11-09,0.45728
2016-11-10,0.45978
2016-11-11,0.45922
2016-11-14,0.45922
2016-11-15,0.45894
2016-11-16,0.457
2016-11-17,0.45922
2016-11-18,0.45978
2016-11-21,0.45978
2016-11-22,0.45811
2016-11-23,0.45589
2016-11-24,0.45822
2016-11-25,0.45822
2016-11-28,0.45878
2016-11-29,0.46044
2016-11-30,0.45822
2016-12-01,0.45822
2016-12-02,0.461
2016-12-05,0.46156
2016-12-06,0.47044
2016-12-07,0.49378
2016-12-08,0.56628
2016-12-09,0.60822
2016-12-12,0.64544
2016-12-13,0.67317
2016-12-14,0.68406
2016-12-15,0.70389
2016-12-16,0.70444
2016-12-19,0.70306
2016-12-20,0.705
2016-12-21,0.70778
2016-12-22,0.71144
2016-12-23,0.71144
2016-12-26,.
2016-12-27,.
2016-12-28,0.71533
2016-12-29,0.72333
2016-12-30,0.72333
2017-01-02,.
2017-01-03,0.72333
2017-01-04,0.71833
2017-01-05,0.71867
2017-01-06,0.71811
2017-01-09,0.71844
2017-01-10,0.71956
2017-01-11,0.71733
2017-01-12,0.71733
2017-01-13,0.72078
2017-01-16,0.71944
2017-01-17,0.72033
2017-01-18,0.72428
2017-01-19,0.724
2017-01-20,0.72344
2017-01-23,0.72206
2017-01-24,0.72289
2017-01-25,0.72344
2017-01-26,0.72178
2017-01-27,0.72011
2017-01-30,0.72206
2017-01-31,0.7215
2017-02-01,0.7215
2017-02-02,0.72056
2017-02-03,0.72167
2017-02-06,0.72222
2017-02-07,0.72111
2017-02-08,0.71972
2017-02-09,0.71611
2017-02-10,0.71417
2017-02-13,0.71528
2017-02-14,0.715
2017-02-15,0.71778
2017-02-16,0.71889
2017-02-17,0.71444
2017-02-20,0.71444
2017-02-21,0.71444
2017-02-22,0.71389
2017-02-23,0.71222
2017-02-24,0.71111
2017-02-27,0.71167
2017-02-28,0.71111
