Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls.1,110-Calls-P.1,110-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-11-08,1478581200000,12.0,14.38,1.25378,53.22710444930431,1.3546975252048776,11.645303474795119,859.6238834225333,2.4733333971414444,-2.4733333971414444,-100.0,,,,1.810804665892664,12.389196334107337,684.1818207929066,1.7368372767440858,-1.7368372767440858,-100.0,,,
2016-11-09,1478667600000,11.65,14.74,1.2426700000000002,53.34558270705028,1.3188134026599243,12.216186597340071,926.3013685409293,2.4055202078344933,-2.4055202078344933,-100.0,,,,1.7615029504283104,12.93849704957169,734.5146396959307,1.6903273187688246,-1.6903273187688246,-100.0,,,
2016-11-10,1478754000000,11.88,14.17,1.2582200000000001,53.37690436183207,1.3462251670537198,12.39577383294628,920.7801292316533,2.453390311612922,-2.453390311612922,-100.0,,,,1.797691711489633,13.132307288510368,730.5094196395032,1.7242054792707275,-1.7242054792707275,-100.0,,,
2016-11-11,1478840400000,12.35,14.48,1.26211,53.48050931497932,1.4031519843251496,11.471847015674848,817.5769370552022,2.5538601227756628,-2.5538601227756628,-100.0,,,,1.8724249671997653,12.237574032800234,653.5681935015897,1.7957960021547767,-1.7957960021547767,-100.0,,,
2016-11-14,1479099600000,12.03,13.37,1.2748899999999999,51.96325103694078,1.316015815433718,10.670983184566284,810.8552389280713,2.436079230146828,-2.436079230146828,-100.0,,,,1.774132212081586,11.415866787918414,643.4620097745817,1.6987353163662309,-1.6987353163662309,-100.0,,,
2016-11-15,1479186000000,12.04,13.72,1.27211,51.890662799017925,1.3146055533423624,10.651393446657636,810.2349346978377,2.4357804596504966,-2.4357804596504966,-100.0,,,,1.773135518259564,11.396863481740436,642.7519704149362,1.6978399785396858,-1.6978399785396858,-100.0,,,
2016-11-16,1479272400000,12.22,13.35,1.27544,51.8674210039625,1.3335384342159688,10.904461565784027,817.7088328312877,2.4712557304783846,-2.4712557304783846,-100.0,,,,1.7989508154972098,11.66104918450279,648.2138969030017,1.7223301757357683,-1.7223301757357683,-100.0,,,
2016-11-17,1479358800000,12.16,12.85,1.2748899999999999,51.81325241744279,1.3251369524936625,11.318863047506335,854.1655280389195,2.457304128130522,-2.457304128130522,-100.0,,,,1.788294680724353,12.07170531927565,675.0400506915323,1.7120830222124048,-1.7120830222124048,-100.0,,,
2016-11-18,1479445200000,12.22,12.42,1.2793299999999999,51.2232370997574,1.3116169801692938,10.836383019830704,826.1850207544603,2.449078030296402,-2.449078030296402,-100.0,,,,1.7774282471639615,11.592571752836035,652.2103928151796,1.7005746563704216,-1.7005746563704216,-100.0,,,
2016-11-21,1479704400000,12.46,12.41,1.27433,50.975714202243566,1.3286446492138584,9.61535535078614,723.6965396635901,2.4887811947427942,-2.4887811947427942,-100.0,,,,1.803729405884948,10.38627059411505,575.8219919367189,1.7256717200021603,-1.7256717200021603,-100.0,,,
2016-11-22,1479790800000,12.43,12.43,1.2782200000000001,50.426388724502104,1.306452954793424,9.840547045206577,753.2262841230714,2.4635355830241163,-2.4635355830241163,-100.0,,,,1.7807234022945764,10.609276597705424,595.7846448266299,1.7026167006861144,-1.7026167006861144,-100.0,,,
2016-11-23,1479877200000,12.75,12.34,1.27989,50.46419901551499,1.341471731099623,9.833529268900376,733.0403646180227,2.528227709885055,-2.528227709885055,-100.0,,,,1.827937373223828,10.622063626776171,581.0955989177379,1.7477155357560346,-1.7477155357560346,-100.0,,,
