Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,5-Day-VNM
2017-03-27,1490587200000,143.8,11.53,0.93889,0.13264787825805524,0.1334598200775501
2017-03-28,1490673600000,144.12,11.42,0.937963333,0.16209576082674218,0.19041064598199933
2017-03-29,1490760000000,143.93,11.54,0.93815,0.15464632676709877,0.16880056450497463
2017-03-30,1490846400000,143.66,12.37,0.937406667,0.14860922777901292,0.16673979319849414
2017-03-31,1490932800000,143.7,12.38,0.937593333,0.1483132683961224,0.16665722158100943
2017-04-03,1491192000000,144.77,11.79,0.940373333,0.15021857202916156,0.16611301452916416
2017-04-04,1491278400000,144.02,12.89,0.94667,0.06001552501116425,0.06465584170607028
2017-04-05,1491364800000,143.66,12.39,0.941296667,0.07473030942825999,0.07477155869878777
2017-04-06,1491451200000,143.34,12.87,0.943886667,0.07638826642651975,0.07668308596612024
2017-04-07,1491537600000,143.17,14.05,0.942593333,0.07687170012205964,0.07728460042787316
2017-04-10,1491796800000,141.63,15.07,0.942223333,0.07670275550487811,0.07783364877254281
2017-04-11,1491883200000,141.8,15.77,0.94148,0.062180075753766766,0.10010604260559958
2017-04-12,1491969600000,141.05,15.96,0.941666667,0.07278566436840703,0.09157883768607208
2017-04-13,1492056000000,141.83,14.66,0.941666667,0.07404541226300353,0.09892273958016477
2017-04-14,1492142400000,141.2,14.42,0.940553333,0.0998912377175987,0.10683552375210767
2017-04-17,1492401600000,140.68,14.93,0.94074,0.10067203500571066,0.11221455024851645
2017-04-18,1492488000000,142.44,14.15,0.939076667,0.07347250909944573,0.07731750036564772
2017-04-19,1492574400000,142.27,14.63,0.939076667,0.12457725699865578,0.12561475566479763
2017-04-20,1492660800000,143.64,10.84,0.939076667,0.11454711305213162,0.11861880999241707
2017-04-21,1492747200000,144.53,10.76,0.940183333,0.1262683454917091,0.13417167482853323
2017-04-24,1493006400000,143.68,10.85,0.939073333,0.11054725959141813,0.13847569990583958
2017-04-25,1493092800000,143.79,10.36,0.939813333,0.12178629324334099,0.14328649521002496
2017-04-26,1493179200000,143.65,10.82,0.93889,0.09765429602418803,0.10332151314661564
2017-04-27,1493265600000,146.58,10.11,0.939443333,0.09722167383174973,0.10317361062252137
2017-04-28,1493352000000,147.51,10.59,0.940833333,0.16001551988471843,0.17566891182515665
2017-05-01,1493611200000,147.06,10.68,0.9413,0.16014446055734702,0.17600491577032717
2017-05-02,1493697600000,146.53,10.46,0.943146667,0.1497599157485953,0.1713139219367333
2017-05-03,1493784000000,148.96,10.57,0.943146667,0.1599513448056222,0.17362388390815625
2017-05-04,1493870400000,153.01,9.77,0.940743333,0.17473834525054346,0.21771102155529717
2017-05-05,1493956800000,153.99,9.96,0.941293333,0.20920745490381415,0.25953820663922145
2017-05-08,1494216000000,153.26,10.21,0.940926667,0.20916653182810582,0.2596318488536028
2017-05-09,1494302400000,153.95,10.6,0.94074,0.21547312989267217,0.2612592265825476
2017-05-10,1494388800000,156.1,10.4,0.940373333,0.1935971223543473,0.262132659002747
2017-05-11,1494475200000,155.7,10.42,0.940186667,0.1888183558827249,0.2524088517270209
2017-05-12,1494561600000,155.47,10.65,0.940923333,0.11911786666889942,0.1344499435905298
2017-05-15,1494820800000,150.25,15.59,0.939816667,0.12015362091127953,0.12493191947397723
2017-05-16,1494907200000,152.54,14.66,0.940556667,0.28943874207319575,0.2980113788393613
2017-05-17,1494993600000,153.06,12.04,0.941483333,0.31792956873248335,0.3196292263872879
2017-05-18,1495080000000,153.99,10.93,0.940556667,0.29264817197848514,0.3009880203721436
2017-05-19,1495166400000,153.8,10.72,0.940556667,0.3015956256667606,0.30417260036969307
2017-05-22,1495425600000,153.34,10.02,0.94074,0.301638432172858,0.30410304353072526
2017-05-23,1495512000000,153.87,9.99,0.941296667,0.11445742386849457,0.13566492471257557
2017-05-24,1495598400000,153.61,9.81,0.94185,0.05965544660624968,0.06725644285690226
2017-05-25,1495684800000,153.67,10.38,0.943146667,0.061648828526137206,0.06297033366914558
2017-05-26,1495771200000,152.76,10.41,0.9433,0.03963754812233874,0.04033019727566165
2017-05-30,1496116800000,153.18,9.89,0.943113333,0.05654548105642935,0.06153579600351285
2017-05-31,1496203200000,155.45,9.75,0.942813333,0.060670771906708956,0.06078563273676248
2017-06-01,1496289600000,153.93,10.07,0.942813333,0.12428374501501734,0.12954672753889598
2017-06-02,1496376000000,154.45,10.45,0.94411,0.1507425834817797,0.15092633732932867
2017-06-05,1496635200000,155.37,10.39,0.944003333,0.15221298574141137,0.15328700000495465
2017-06-06,1496721600000,154.99,10.16,0.944743333,0.14079372737967533,0.15328592388172688
2017-06-07,1496808000000,148.98,10.7,0.944743333,0.14707690507198637,0.1529636659979695
2017-06-08,1496894400000,145.42,10.7,0.945666667,0.294137495658932,0.331134410679105
2017-06-09,1496980800000,146.59,11.46,0.96037,0.31544829814680914,0.3753771933529291
2017-06-12,1497240000000,145.16,10.42,1.00048,0.3307124892146364,0.379855148148359
2017-06-13,1497326400000,144.29,10.64,1.027703333,0.2984008355433517,0.3849453147166258
2017-06-14,1497412800000,142.27,10.9,1.051776667,0.2908783628357289,0.38744276866954674
2017-06-15,1497499200000,146.34,10.38,1.077776667,0.18853659742974305,0.2504626089887869
2017-06-16,1497585600000,145.01,10.37,1.084963333,0.2751400254286015,0.27606362751824026
2017-06-19,1497844800000,145.87,10.86,1.183886667,0.275559313222598,0.27827349491575504
2017-06-20,1497931200000,145.63,10.75,1.18574,0.27058981226616585,0.2711523093286572
2017-06-21,1498017600000,144.09,10.48,1.18741,0.2651236552016885,0.267178462958616
2017-06-22,1498104000000,146.28,10.02,1.187963333,0.252642425362393,0.2567029983055689
2017-06-23,1498190400000,145.82,9.9,1.1872200000000002,0.17187163050917542,0.17187789264318934
2017-06-26,1498449600000,143.73,11.06,1.189073333,0.15634871406375092,0.1576137013957492
2017-06-27,1498536000000,145.83,10.03,1.182963333,0.18206252595694858,0.18958541186444972
2017-06-28,1498622400000,143.68,11.44,1.18389,0.22183395690680607,0.221888289566411
2017-06-29,1498708800000,144.02,11.18,1.1846299999999998,0.23667763582249465,0.23689709750538526
2017-06-30,1498795200000,143.5,11.22,1.184816667,0.19700733540071755,0.20473176139649923
2017-07-03,1499054400000,144.09,11.07,1.184816667,0.19704113270619703,0.20522565725438224
2017-07-05,1499227200000,142.73,12.54,1.180556667,0.17255903748781176,0.17279097660494405
2017-07-06,1499313600000,144.18,11.19,1.182776667,0.1274270290679161,0.14881935033813243
2017-07-07,1499400000000,145.06,11.11,1.184263333,0.12005156643622697,0.12069320629557315
2017-07-10,1499659200000,145.53,10.89,1.18537,0.12615991075300892,0.12875948019186165
2017-07-11,1499745600000,145.74,10.3,1.18537,0.11783711848957058,0.1281067412173233
2017-07-12,1499832000000,147.77,9.9,1.1846299999999998,0.11750541184209429,0.1243662253636614
2017-07-13,1499918400000,149.04,9.51,1.184073333,0.08088850937312025,0.1481800457649626
2017-07-14,1500004800000,149.56,9.82,1.185,0.07770163088641246,0.14179430426567782
2017-07-17,1500264000000,150.08,9.89,1.18537,0.0810300936435105,0.13605993028145594
2017-07-18,1500350400000,151.02,9.79,1.18537,0.08051000399952293,0.13643167233510198
2017-07-19,1500436800000,150.34,9.58,1.185,0.06902341809490524,0.1448294376829017
2017-07-20,1500523200000,150.27,9.36,1.186666667,0.0789138436770962,0.10016402851708872
2017-07-21,1500609600000,152.09,9.43,1.185366667,0.06704514772349845,0.07321001543489516
2017-07-24,1500868800000,152.74,9.43,1.186296667,0.10127758770176995,0.11772422102596469
2017-07-25,1500955200000,153.46,9.6,1.187776667,0.10149477646643494,0.11938175139673511
2017-07-26,1501041600000,150.56,10.11,1.189256667,0.0994197074591102,0.11477116796583516
2017-07-27,1501128000000,149.5,10.29,1.18926,0.18744697159351498,0.1875199640749866
2017-07-28,1501214400000,148.73,10.26,1.18852,0.1949533495524766,0.1958178285797859
2017-07-31,1501473600000,150.05,10.09,1.1887,0.15616475674593294,0.17542954189734744
2017-08-01,1501560000000,157.14,10.28,1.190556667,0.1748344091377985,0.1860330819726304
2017-08-02,1501646400000,155.57,10.44,1.189816667,0.4030176245059938,0.41183871529929544
2017-08-03,1501732800000,156.39,10.03,1.18926,0.37289933665491354,0.39085726389957354
2017-08-04,1501819200000,158.81,9.93,1.190926667,0.3540597177411264,0.38902879890718406
2017-08-07,1502078400000,160.08,10.96,1.189813333,0.33118748634725903,0.40586667386540265
2017-08-08,1502164800000,161.06,11.11,1.19222,0.3319652955837017,0.40471148673783014
2017-08-09,1502251200000,155.32,16.04,1.190553333,0.14827661262799186,0.17250249545055457
2017-08-10,1502337600000,157.48,15.51,1.19,0.3279545447543663,0.32800501780936536
2017-08-11,1502424000000,159.85,12.33,1.190373333,0.34264933053120233,0.3435491948951295
2017-08-14,1502683200000,161.6,12.04,1.190373333,0.34156969613727095,0.3423670822387073
2017-08-15,1502769600000,160.95,11.74,1.191853333,0.34583103931291004,0.3474799131242396
2017-08-16,1502856000000,157.86,15.55,1.19074,0.34553138003654477,0.34554002560838065
2017-08-17,1502942400000,157.5,14.26,1.19074,0.23621393536740623,0.24323855512618872
2017-08-18,1503028800000,157.21,13.19,1.19111,0.2174646255746056,0.2174651001933708
2017-08-21,1503288000000,159.78,11.35,1.191113333,0.1722744324184009,0.18228650728113124
2017-08-22,1503374400000,159.98,12.25,1.192033333,0.20205669304407883,0.2060799589048378
2017-08-23,1503460800000,159.27,12.23,1.191113333,0.20263699438302107,0.20378783507652665
2017-08-24,1503547200000,159.86,11.28,1.19074,0.13316621501756612,0.13691376013140036
2017-08-25,1503633600000,161.47,11.32,1.188886667,0.12827839980564182,0.13887683889913263
2017-08-28,1503892800000,162.91,11.7,1.190373333,0.12785150917572877,0.15967536778058455
2017-08-29,1503979200000,163.35,11.22,1.190373333,0.09431729512155629,0.11710327093446073
2017-08-30,1504065600000,164.0,10.59,1.190373333,0.09228294450278067,0.11865340894215992
2017-08-31,1504152000000,164.05,10.13,1.19389,0.05346918074480202,0.11756616070502797
2017-09-01,1504238400000,162.08,12.23,1.193706667,0.06621468885290388,0.11381013058473763
2017-09-05,1504584000000,161.91,11.63,1.192966667,0.125240191811689,0.12596466084573207
2017-09-06,1504670400000,161.26,11.55,1.19278,0.10201611342154152,0.1043674354094292
2017-09-07,1504756800000,158.63,12.12,1.190553333,0.09664405744665207,0.1070634799229385
2017-09-08,1504843200000,161.5,10.73,1.188703333,0.11649550572035995,0.1666078028880886
2017-09-11,1505102400000,160.86,10.58,1.188703333,0.2125732253934528,0.2198382234540775
2017-09-12,1505188800000,159.65,10.5,1.189073333,0.1981565435113963,0.1999918352972682
2017-09-13,1505275200000,158.28,10.44,1.190373333,0.2025974668517597,0.20874601364831907
2017-09-14,1505361600000,159.88,10.17,1.190373333,0.20697734923423589,0.2174692494558792
2017-09-15,1505448000000,158.67,10.15,1.189446667,0.1888748642090544,0.1909510380938689
2017-09-18,1505707200000,158.73,10.18,1.190743333,0.12481563909023044,0.1399262333802088
2017-09-19,1505793600000,156.07,9.78,1.1903700000000002,0.12769139863121595,0.1363064001745873
2017-09-20,1505880000000,153.39,9.67,1.190003333,0.16317533391217912,0.18223576697923918
2017-09-21,1505966400000,151.89,9.59,1.190743333,0.18722028827023762,0.21830527730337748
2017-09-22,1506052800000,150.55,10.21,1.190003333,0.11713761738864839,0.21763151322918278
2017-09-25,1506312000000,153.14,10.17,1.189256667,0.11564237247509165,0.22067003276049565
2017-09-26,1506398400000,154.23,9.87,1.189256667,0.2255087221938791,0.25943586533777924
2017-09-27,1506484800000,153.28,9.55,1.18907,0.2246039685041362,0.22857662425687394
2017-09-28,1506571200000,154.12,9.51,1.189816667,0.18836939082266568,0.18838687528565248
2017-09-29,1506657600000,153.81,9.45,1.19148,0.16882379905760098,0.1766934255907326
2017-10-02,1506916800000,154.48,9.51,1.194816667,0.14345784366852246,0.16264854450615587
2017-10-03,1507003200000,153.48,9.63,1.197223333,0.08984038169606015,0.09509376169067105
2017-10-04,1507089600000,155.39,9.19,1.195553333,0.09065642288787633,0.09231875884936985
2017-10-05,1507176000000,155.3,9.65,1.19574,0.1160886394458362,0.12597267217597047
