Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI
2014-10-09,1412827200000,100.73,21.24,0.1525,24.314533067221607,2.8068061228986854,12.933193877101312,460.7797372105187,2.7941811675613906,-2.7941811675613906,-100.0,5.600987290460076,10.13901270953992,181.0218838883864,0.29108797860680724,5.37591202139318,1846.834090202948,10.350200527735792,-10.350200527735792,-100.0,10.6412885063426,-4.974288506342612,-46.74517097603127
2014-10-10,1412913600000,99.81,24.64,0.1527,24.42529232094125,2.7938139269700457,16.021186073029952,573.4521514969069,2.7812878744090384,-2.7812878744090384,-100.0,5.575101801379083,13.239898198620914,237.4826266911544,0.29366970849518026,8.540330291504809,2908.1413725872826,10.260891050678083,-10.260891050678083,-100.0,10.554560759173263,-1.7205607591732743,-16.30158562191124
2014-10-13,1413172800000,98.75,22.79,0.1528,24.44216963659379,2.7660519671323263,16.083948032867667,581.4767120786423,2.7536508280639964,-2.7536508280639964,-100.0,5.5197027951963245,13.330297204803667,241.5038943112071,0.2913452589955714,8.683654741004423,2980.5375144739937,10.1527040060204,-10.1527040060204,-100.0,10.444049265015972,-1.4690492650159914,-14.065897505259851
2014-10-14,1413259200000,97.54,26.25,0.1533,21.31476537451345,2.383497043076325,19.076502956923672,800.3577353845618,2.3712077773163216,-2.3712077773163216,-100.0,4.7547048203926465,16.705295179607347,351.34242420179964,0.16037245285864898,11.54562754714134,7199.258564260762,9.900854260522651,-9.900854260522651,-100.0,10.0612267133813,1.6447732866186886,16.347641629336923
2014-10-15,1413345600000,96.26,25.2,0.1518,21.51722559906044,2.374438906393955,20.295561093606047,854.7518758622763,2.362429572306894,-2.362429572306894,-100.0,4.736868478700849,17.933131521299153,378.58622425205186,0.16528594959048792,12.87871405040951,7791.777874839199,9.778075682094707,-9.778075682094707,-100.0,9.943361631685196,3.100638368314801,31.182999101977813
2014-10-16,1413432000000,97.67,21.99,0.1535,21.804938865525028,2.441408317326747,14.958591682673244,612.7033964991302,2.429086619280355,-2.429086619280355,-100.0,4.870494936607102,12.52950506339289,257.2532201854875,0.1781234052276872,7.454876594772293,4185.231348594003,9.93156953737666,-9.93156953737666,-100.0,10.109692942604347,-2.476692942604366,-24.498201445536168
2014-10-17,1413518400000,99.76,18.57,0.157,22.60567373118375,2.585101586773689,12.284898413226301,475.21917421273764,2.572229277593962,-2.572229277593962,-100.0,5.157330864367651,9.71266913563234,188.3274389614564,0.213269609273782,4.680730390726208,2194.747956197258,10.175110069176084,-10.175110069176084,-100.0,10.388379678449866,-5.494379678449889,-52.88966950108382
2014-10-20,1413777600000,102.47,16.08,0.1572,23.811709592203485,2.796592237264207,10.663407762735801,381.30005585538566,2.7833534070678776,-2.7833534070678776,-100.0,5.579945644332085,7.880054355667922,141.22098776485768,0.2723075246736748,2.9406924753263333,1079.9159805996444,10.504744811457698,-10.504744811457698,-100.0,10.777052336131373,-7.564052336131379,-70.18665308668844
2014-10-21,1413864000000,102.99,17.87,0.1557,22.23437761806167,2.6250369656808914,9.874963034319107,376.183770492455,2.6118579106216937,-2.6118579106216937,-100.0,5.2368948763025855,7.2631051236974145,138.69106207504012,0.20485226243784904,1.9961477375621444,974.4328492187213,10.489355301872763,-10.489355301872763,-100.0,10.694207564310613,-8.49320756431062,-79.41876490834804
2014-10-22,1413950400000,104.83,16.53,0.153,22.7596523456624,2.7347641197942423,7.4352358802057585,271.8785077802312,2.7215822171394635,-2.7215822171394635,-100.0,5.456346336933706,4.713653663066296,86.38846165537252,0.2307125495165545,-0.2307125495165545,-100.0,10.699212456596316,-10.386212456596313,-97.0745510356977,10.929925006112871,-10.616925006112869,-97.13630240074889
